638345458,20,0,2
638345398,-20,0,2
638345398,-20,3,2
30204323,10,3,2
30204323,20,3,2
768939438,0,3,2
2163733811,10,1,2
768939447,20,3,2
367133524,-20,3,2
638345458,0,3,2
638345458,20,3,2
367133525,-20,3,2
367133525,-20,2,2
458401333,20,3,1,2
458415368,0,1,1,2
458415368,0,3,1,2
3947848988,-20,1,1
3947848988,-20,3,1
367133525,-10,1,2
367133525,0,0,1
367133525,10,0,1
367133525,20,0,2
768939206,-20,2,2
768939206,0,2,1
3110291942,-20,3,2
638346157,10,2,2
638346174,-10,1,2
638346174,-10,2,2
638346174,0,1,2
638346174,0,2,2
638346230,0,0,2
638346230,0,3,2
768939206,10,0,2
768939206,20,0,1
768939206,20,3,2
768939206,20,3,2
768939222,-20,0,1
768939222,-20,3,2
768939222,-10,0,2
768939222,-10,2,1
768939222,0,0,1
768939222,0,2,2
768939222,10,1,1
768939222,-10,0,1
768939222,0,0,1
768939447,0,1,1
768939447,20,1,1
768939466,-10,3,1
1323522496,0,3,1
1323522496,0,1,1
292456588,0,1,1
292456588,0,3,2
292456588,-20,0,2
292456588,-10,2,2
292456588,0,0,2
292456588,20,3,2
1323522476,-20,2,1
1832927621,20,0,1
458415368,-20,0,2
458415368,-20,3,1
458415368,0,0,1
458415368,0,2,1
458415368,10,0,1
458415368,10,2,1
458415368,20,1,2
458401333,-20,2,1
458401333,-10,1,2
458401333,0,0,1
458401333,10,0,1
458401333,10,2,1
458401333,20,0,1
458401333,20,2,1
458415279,-10,0,1
458415279,0,0,1
458415279,10,0,2
458415279,20,3,2
3110291942,-20,2,1
367132842,-10,2,2
367132842,0,1,2
30204323,20,0,1
607647718,-20,0,1
607647718,-10,0,1
607647718,-10,1,2
607647718,-10,0,1
367132842,0,0,1
367132842,20,0,2
3110274995,0,0,2
607646869,10,1,2
607646869,10,0,1
607646869,20,2,1
607646869,20,3,1
607647718,-20,3,1
607647718,-20,2,1
607647718,0,1,1
3113751867,0,2,1
768939206,10,0,1
768939206,10,3,2
768939206,20,0,2
768939206,20,2,1
30204323,-20,3,2
30204323,-10,2,2
30204323,0,0,2
607647718,10,0,1
607647718,20,0,2
607646869,-20,2,2
607646869,-10,1,2
607646869,0,0,1
607646869,0,2,1
607646869,10,0,2
607646869,20,3,2
2163733811,-20,2,1
2163733811,-10,2,2
2163733811,0,0,2
2163733811,0,1,2
2163733811,10,0,2
2163733811,10,2,1
2163733811,20,1,2
7848234876,-20,2,1
7848234876,-10,0,2
7848234876,-10,1,1
7848234876,0,0,1
607649480,0,0,1
638346157,0,2,1
638346157,10,0,1
638346157,10,1,2
638346157,20,1,2
638346157,20,2,2
1323522755,-20,3,2
1323522755,-10,2,1
1323522755,0,1,2
1323522755,10,0,1
1323522755,10,2,2
1323522755,20,3,2
1323522496,-20,0,1
1323522496,-10,1,2
1323522496,0,1,2
1323522496,10,0,2
1323522496,20,2,2
1323522473,-20,2,2
1323522473,-10,0,1
1323522473,-10,3,2
638345398,-20,0,2
30204323,10,3,1
30204323,20,3,1
768939438,0,3,1
2163733811,10,1,2
768939447,20,3,1
367133524,-20,3,1
367133524,-20,1,1
638345458,0,3,2
638345458,20,3,2
367133525,-20,3,2
458401333,10,3,1
